id,title,genres,averageRating,numVotes,releaseYear
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,224338,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,219864,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,213319,2016
tt4508902,One Punch Man,"Action, Animation, Comedy",8.7,192598,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189632,2005
tt0988824,Naruto: Shippuden,"Action, Adventure, Animation",8.7,181214,2007
tt0407362,Battlestar Galactica,"Action, Adventure, Drama",8.7,178560,2004
tt5555260,This Is Us,"Comedy, Drama, Romance",8.7,162920,2016
tt0248654,Six Feet Under,"Comedy, Drama",8.7,153448,2001
tt5788792,The Marvelous Mrs. Maisel,"Comedy, Drama",8.7,146371,2017
tt0092455,Star Trek: The Next Generation,"Action, Adventure, Drama",8.7,139640,1987
tt1628033,Top Gear,"Adventure, Sport, Talk-Show",8.7,129378,2002
tt13991232,1883,"Drama, Western",8.7,123099,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,108969,1997
tt9544034,The Family Man,"Action, Comedy, Drama",8.7,101236,2019
tt0286486,The Shield,"Crime, Drama, Thriller",8.7,90147,2002
tt5712554,The Grand Tour,"Comedy, Sport, Talk-Show",8.7,87523,2016
tt0994314,Code Geass,"Action, Animation, Drama",8.7,84508,2006
tt13309742,Blue Eye Samurai,"Action, Adventure, Animation",8.7,78867,2023
tt0758745,Friday Night Lights,"Drama, Sport",8.7,73866,2006
tt2303687,Line of Duty,"Crime, Drama, Mystery",8.7,72577,2012
tt0387764,Peep Show,Comedy,8.7,68054,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58498,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,49786,2004
tt10850932,Crash Landing on You,"Adventure, Comedy, Drama",8.7,45380,2019
tt0111958,Father Ted,Comedy,8.7,44650,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39233,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38529,2009
tt7472896,Mr Inbetween,"Crime, Drama",8.7,34476,2018
tt0459159,The Thick of It,Comedy,8.7,26763,2005
tt0096639,Lonesome Dove,"Adventure, Drama, Western",8.7,26679,1989
tt0086661,The Adventures of Sherlock Holmes,"Crime, Drama, Mystery",8.7,24712,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22382,2019
tt28857177,Lucky Guy,"Comedy, Drama, Fantasy",8.7,21482,2023
tt6025022,Justice League Unlimited,"Action, Adventure, Animation",8.7,21327,2004
tt20859920,Alchemy of Souls,"Action, Drama, Fantasy",8.7,19706,2022
tt0080306,Yes Minister,Comedy,8.7,16927,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16354,2005
tt4063800,The Bureau,"Drama, Thriller",8.7,14982,2015
tt0106028,Homicide: Life on the Street,"Crime, Drama, Mystery",8.7,14963,1993
tt10801534,How to with John Wilson,"Comedy, Documentary",8.7,14088,2020
tt0090509,The Return of Sherlock Holmes,"Crime, Drama, Mystery",8.7,13674,1986
tt11007006,Azize,Drama,8.7,13628,2019
tt0229889,El Chavo del Ocho,"Comedy, Family",8.7,13479,1972
tt7621364,Black Pearl,Drama,8.7,12861,2017
tt6111552,Content Cop,"Comedy, Crime, Talk-Show",8.7,12618,2015
